Postalcode,X-Coordinates,Y-Coordinates
738907,24296.6251,47144.7701
737916,24559.0473,47504.7874
768643,27958.1371,46096.2628
768928,27599.0061,46417.9159
569869,30656.2492,39668.3978
159016,26956.3330,30410.8076
544969,34002.5395,41397.9754
569843,29382.1891,40003.5241
569948,28276.7353,39792.7726
569206,30029.3897,39593.0598
569920,28702.4805,39038.1603
569362,29032.9525,38821.1291
487012,40054.4939,34729.3263
139745,22651.8487,31736.5296
309919,28273.1184,33542.0044
139650,22106.5733,31782.5550
227988,28963.8002,32368.4710
309918,28254.9829,33404.2341
529366,41160.8608,36732.3205
149059,24321.3922,31599.7069
679697,20503.7069,39076.8486
329927,29236.6773,34203.8458
307516,29137.9565,34061.6276
538403,33507.4424,35790.8945
679944,21371.2620,40687.4577
318990,30081.0985,35993.9017
469317,39621.6222,34026.5430
469722,39319.2391,35190.1334
419612,36566.4550,35162.9211
468585,41090.4082,34158.4476
469626,37909.4855,34876.5304
469293,40292.8371,34044.3486
339948,31570.8075,33784.8515
327919,31077.3567,34094.3010
575565,27934.4211,38586.1724
109100,25252.1764,28732.4374
649930,14606.3915,36111.0122
648354,13373.4180,36097.3626
547529,32912.2974,39196.2501
399935,33965.0568,32152.5865
658962,17711.9102,36734.9790
159050,25741.2848,29801.0058
689809,17431.6287,40465.2079
679676,20877.4624,39497.1878
598112,20603.3470,35547.2001
659634,19095.2088,36487.6666
659633,18981.0465,36428.8948
757714,26054.8553,48103.4229
757699,25871.8418,48315.7559
387621,33439.8830,34279.7315
518935,41766.4978,39385.5959
579767,29286.0618,37423.9135
297822,28248.4938,34098.4480
349692,32548.6952,35134.7421
349700,32693.3769,35313.9771
529894,41295.3217,35838.9878
529896,41228.3856,35819.2295
679301,21048.6173,38964.0620
424821,36636.4983,32094.7537
449150,37329.0379,32085.4517
558979,31442.3277,37780.9072
534793,35160.3441,39464.2179
679287,20696.8594,38754.7726
319765,28949.1537,34994.5346
319764,29107.6704,34962.2642
548595,35695.0897,41518.5180
569405,28104.0196,39497.6106
569250,30787.0844,38446.5804
768959,28640.1237,46683.3720
529392,41121.6978,36967.7417
737924,23511.7159,45365.0813
689905,17821.8579,39969.5633
688845,18936.7295,40571.8261
439012,34390.0939,31968.0042
768547,28445.2214,44503.2444
129903,20180.3232,33121.0532
129904,20065.2211,33091.2639
127443,20409.9733,32049.3238
608784,18241.9409,33496.5605
545091,35177.2900,41816.2900
545083,35403.7461,42003.7810
689814,17185.5542,40264.6281
518902,41067.8214,38938.0470
518901,40904.4082,38793.6122
648347,14006.5235,37066.2772
247961,26244.4776,30634.2205
609561,17897.6699,36189.1921
569185,30857.3197,39313.4794
479226,37718.7819,35389.0278
479229,38435.9529,35456.4196
659441,18523.0002,37903.5212
689285,17998.1097,41885.6713
569277,30139.9937,38670.6686
659204,18195.1000,38415.2921
436895,33555.8268,31351.8890
529093,41676.0871,38068.2950
469031,37640.2440,34637.2132
529258,42284.2733,37198.8183
529231,42169.2756,37590.3667
528907,39833.5183,36558.4674
529177,40939.3656,37815.5113
828869,36286.3550,42416.6060
828814,35659.0312,42450.3406
518866,40468.5861,39669.9746
757521,26231.5590,48420.9503
419529,35907.8441,34069.7661
738908,23689.1374,47312.3951
738489,23599.0225,46988.4334
139648,22699.6137,31461.2787
139649,22549.1834,31576.1391
678972,20287.6356,39730.2477
217567,29956.9436,32755.5662
469680,38969.4734,34726.3102
797701,32538.5493,41322.4156
319252,30471.8818,35831.6345
319133,30816.7547,34993.2464
648200,13127.7417,35425.1264
