ALL_SCHOOLS,ADDRESS,POSTALCODE,X_COORDINATES,Y_COORDINATES,LATITUDE,LONGTITUDE
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE,738907,24296.6251,47144.7701,1.442888,103.799693
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT,737916,24559.0473,47504.7874,1.445881,103.802398
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11,768643,27958.1371,46096.2628,1.433543,103.832949
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7,768928,27599.0061,46417.9159,1.436663,103.829889
AI TONG SCHOOL,4300 ANG MO KIO AVE 5,569869,30656.2492,39668.3978,1.375583,103.856212
ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT,159016,26956.333,30410.8076,1.29273,103.8220886
ANCHOR GREEN PRIMARY SCHOOL,31 ANCHORVALE DRIVE,544969,34002.5395,41397.9754,1.390652,103.887283
ANDERSON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,29382.1891,40003.5241,1.378043,103.8457619
ANDERSON PRIMARY SCHOOL,6 ANG MO KIO AVE 2 ANDERSON PRIMARY SCHOOL,569948,28276.7353,39792.7726,1.37619,103.835797
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53,569206,30029.3897,39593.0598,1.374262,103.851456
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL,569920,28702.4805,39038.1603,1.368803,103.839266
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22,569362,29032.9525,38821.1291,1.367353,103.8426
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD,487012,40054.4939,34729.3263,1.330302,103.941937
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST,139745,22651.8487,31736.5296,1.303305,103.785253
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD,309919,28273.1184,33542.0044,1.319611,103.835757
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD,139650,22106.5733,31782.555,1.302189,103.780078
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD,227988,28963.8002,32368.471,1.3094539,103.841372
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD,309918,28254.9829,33404.2341,1.318735,103.835345
ANGSANA PRIMARY SCHOOL,3 TAMPINES STREET 22,529366,41160.8608,36732.3205,1.348251,103.951859
ASSUMPTION ENGLISH SCHOOL,121 QUEENSWAY,149059,24321.3922,31599.7069,1.302031,103.800263
ASSUMPTION PATHWAY SCHOOL,30 CASHEW ROAD,679697,20503.7069,39076.8486,1.3705271,103.7667529
BALESTIER HILL PRIMARY SCHOOL,565 BALESTIER ROAD,329927,29236.6773,34203.8458,1.325976,103.844562
BALESTIER HILL SECONDARY SCHOOL,11 NOVENA RISE,307516,29137.9565,34061.6276,1.324729,103.84457
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI ROAD,538403,33507.4424,35790.8945,1.340275,103.882831
BEACON PRIMARY SCHOOL,36 BUKIT PANJANG RING ROAD,679944,21371.262,40687.4577,1.384235,103.77377
BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH,318990,30081.0985,35993.9017,1.34154,103.851956
