AREA,2 ROOM,3 ROOM,4 ROOM,5 ROOM,PRIVATE,AVERAGE
Ang Mo Kio,220000,326515.3171,490076.4706,677736,760000,413534.0588
Bedok,250000,306821.2174,446754.1818,596611.1111,670000,419375.3786
Bishan,No Data,338250,535110.1567,730666.6667,867500,617574.8994
Boon Lay,No Data,295583.3333,438333.3333,561916.6667,720000,422634.6154
Bukit Batok,No Data,278631.5789,409880,511250,No Data,390547.1698
Bukit Merah,253972,419108.5455,667230.7692,746333.3333,No Data,533901.5833
Bukit Panjang,No Data,283250,364522.7273,457714.2857,627555.4286,424540.1702
Bukit Timah,No Data,408000,No Data,820000,No Data,614000
Central Area,No Data,417563.4286,756360,1018000,No Data,532284.4
Centre Catchment,No Data,No Data,No Data,No Data,No Data,0
Changi,No Data,No Data,No Data,No Data,No Data,0
Choa Chu Kang,No data,282666.6667,355143.6098,441085.8182,538300,391609.5211
Clementi,No Data,326437,601432,672000,888888,442743.7895
Downtown,No Data,No Data,No Data,No Data,No Data,0
Geylang,No Data,298846.1538,520941.4737,635472,No Data,453466
Hougang,No Data,302029.4118,408842.0357,517050,617000,423331.4697
Jurong East,No Data,295583.3333,438333.3333,561916.6667,720000,422634.6154
Jurong West,No Data,295583.3333,438333.3333,561916.6667,720000,422634.6154
Kallang,227000,340892,609298.6667,702722,No Data,461738.6977
Lim Chu Kang,No Data,No Data,No Data,No Data,No Data,0
Mandai,No Data,No Data,No Data,No Data,No Data,0
Marina East,No Data,463000,518000,801736,No Data,739488.8
Marina South,No Data,463000,518000,801736,No Data,739488.8
Marine Parade,No Data,463000,518000,801736,No Data,739488.8
Mountbatten,No Data,No Data,No Data,No Data,No Data,0
Museum,No Data,No Data,No Data,No Data,No Data,0
North East Island,No Data,No Data,No Data,No Data,No Data,0
Outram,No Data,No Data,No Data,No Data,No Data,0
Pasir Ris,No Data,No Data,400935.52,469083.4167,601222.7143,471951.1176
Paya Lebar,No Data,272000,359000,517000,No Data,382666.6667
Punggol,265000,365600,438509.2,442556.2857,547000,440215.2464
Queenstown,253000,393680,656222.2222,923750,998888,517372.2
River Valley,No Data,No Data,No Data,No Data,No Data,0
Rochor,No Data,No Data,No Data,No Data,No Data,0
Sembawang,No Data,No Data,359125,434600,514857.1429,433200
Sengkang,No Data,No Data,412412.8,453630.2069,559555.5556,442769.3012
Serangoon,No Data,307125,475916.6667,546333.3333,665714.2857,509173.0769
Singapore River,No Data,No Data,No Data,No Data,No Data,0
South Island,No Data,No Data,No Data,No Data,No Data,0
Strait View,No Data,No Data,No Data,No Data,No Data,0
Sungei Kedut,No Data,No Data,No Data,No Data,No Data,0
Tampines,No Data,319653.8462,432770.1818,527142.8571,659972.125,462038.9649
Tanglin,No Data,No Data,No Data,No Data,No Data,0
Toa Payoh,236500,301511.5,484480,723777.7778,No Data,415767.5745
Tuas,No Data,No Data,No Data,No Data,No Data,0
West Island,No Data,No Data,No Data,No Data,No Data,0
Woodlands,No Data,276250,363831.9,428788.5556,612600,397408.4706
Yishun,No Data,298760,355494.8864,451750,583500,368192.8161
