osm_id,name,type
22886442,,train_station
22921724,Old Customs House,
24680746,,civic
26561741,Terminal 1,
30527021,Sim Lim Square,retail
31307895,Ang Mo Kio Public Library,library
32340735,Pearl's Centre,
32340873,,apartments
32342169,National Museum of Singapore,museum
32395512,,
32395524,,
32414926,,
32416309,,retail
32482974,,
32482977,,
32482981,,
32507125,Police Cantonment Complex,
32507157,Health Science Authority,public_building
32507166,Health Promotion Board,public
32507173,National Dental Centre,
32726509,Fernvale Point,retail
32750183,Sentosa Golf Club,
32774292,Compass Point,
32774317,Rivervale Plaza,
32774374,Rivervale Mall,
32774665,Hougang Mall,retail
32774817,Sengkang Community Hub,public_building
32980746,Seletar Airport Passenger Terminal Bldg,
33444529,Heartland Mall,retail
33448501,,
33504482,,
33504662,Sengkang Fire Station,fire_station
33543605,Joo Koon Station,train_station
33543624,,train_station
33543880,IMM,
33544027,Nordic European Centre,
33737976,Jurong East Station,train_station
33738028,JTC Summit,
33793021,Canossaville Children's Home,
33913082,Tanjong Pagar Railway Station,train_station
33913487,St. James Power Station,nightclub
34127414,SAFRA Clubhouse (Toa Payoh),
34403421,The Salvation Army Nursing Home,
34408616,Courts,
34408631,Giant,
34575106,,
34575159,White Sands,retail
34587438,Ren Ci Hospital,hospital
34900240,Bedok MRT Station,platform
35091648,,
35091650,,
35096509,50,
35096650,Masjid En-Naeem,place_of_worship
36503973,610,
36503974,607,
36503975,620,
36503976,622,
36503977,624,
36503978,626,
36505372,601,
36505373,602,
36505374,603,
36505376,604,
36505377,605,
36505378,606,
36505380,608,
36505381,611,
36505382,609,
36505383,612,
36505384,,
36505387,,parking
36505388,,
36505859,,
36505861,,
36505862,,
36537014,221,
36537017,220,
36537019,219,
36537022,218,
36537030,217,
36537032,222,
36537035,215,
36537036,214,
36537038,216,
36537040,213,
36537043,212,
36537046,211,
37326466,Big Mac Centre,
37329685,Ang Mo Kio,transportation
37331630,,
37331632,,
37334479,,
37334480,,
37334562,,
37354398,Alexandra Retail Centre,
37354400,NOL Building,
37355227,,
37355228,,
37355745,Masjid Al-Muttaqin,place_of_worship
37356941,,
37356989,,
37357018,Jubilee Square,cinema
37357055,,
37357071,,
37357072,,
37357073,,
37357400,Ang Mo Kio Polyclinic (NHG),clinic
37397540,(U/C,
37403952,,
37403953,,
37403954,,
37403955,,
37403956,,
37403957,,
37403958,,
37403959,,
37403960,,
37403961,,
37403962,,
37403963,,
37403964,,
37434743,Ang Mo Kio Block 724 Wet Market and Food Centre,
37434761,,
37434762,,
37521886,,
37522116,McDonald's,fast_food
37527279,,
37552597,,
39425733,Sri Mariamman Temple,place_of_worship
39425734,Jamae Mosque,place_of_worship
39431512,Tan Boon Liat Building,
39487263,Raffles City Shopping Centre,
40128066,Funan DigitaLife Mall,
41229009,,
41499780,,marketplace
41662296,Blk 500,
41662705,Marina Barrage,attraction
41663272,Kandang Kerbau Women's and Children's Hospital,hospital
41838777,,industrial
41838778,,industrial
41838779,,industrial
41838780,,industrial
41838781,,industrial
41889431,Shaw House,
41889999,Orchard Central,retail
41890074,Mandarin Orchard Singapore,hotel
41890217,Palais Renaisance,
