X,Y,STN_NAM,LATITUDE,LONGTITUDE
20083.391689386004,45221.39571094048,KRANJI,1.425279,103.762090
22889.004204242301,31334.975294856424,ONE NORTH,1.299112,103.786968
32228.671390099036,32633.127592252626,KALLANG,1.311382,103.871345
16814.968460274642,36033.318464626172,CHINESE GARDEN,1.342366, 103.732596
40446.578179615775,37265.64583181421,TAMPINES,1.353084, 103.945232
34337.170633601279,34288.628352173218,MACPHERSON,1.326737, 103.889871
24964.715072883424,30777.078770649703,QUEENSTOWN,1.294747, 103.805999
29779.666595848499,32164.704880889523,LITTLE INDIA,1.306341, 103.849688
25125.433166538987,33302.965075892345,FARRER ROAD,1.317313, 103.807426
35795.125054918732,33560.108878751307,EUNOS,1.319718, 103.903104
23221.865169356333,32120.541294531558,BUONA VISTA,1.307279, 103.790386
29569.476640776014,34986.21621576816,TOA PAYOH,1.333302, 103.846523
32677.488669323877,31688.544177813194,STADIUM,1.302774, 103.875350
30866.640812551355,29368.417448526056,BAYFRONT,1.281292, 103.858950
31430.53604300864,37080.783086659845,LORONG CHUAN,1.351658, 103.862903
32172.303700960838,35708.263788453412,WOODLEIGH,1.339344, 103.870784
30395.057797582864,28749.988869205434,MARINA BAY,1.276099, 103.854663
26539.427378177999,47856.279899271598,SEMBAWANG,1.449018, 103.820153
21915.809936244616,32632.946186613714,DOVER,1.311284, 103.778640
30173.814669836887,29099.667570070469,DOWNTOWN,1.279351, 103.852744
25107.830186275805,34233.567131386095,TAN KAH KEE,1.325357, 103.807798
28678.223908548363,36766.386735061489,MARYMOUNT,1.349075, 103.839485
45255.520512651907,37710.283679177475,CHANGI AIRPORT,1.357373, 103.988830
23328.33572433571,28744.551335698256,PASIR PANJANG,1.276161, 103.791355
18105.125927978916,40783.126387636235,CHOA CHU KANG,1.385474, 103.744235
31076.532819752785,30616.432762730019,PROMENADE,1.293800, 103.859954
31293.395858878343,28207.991028172208,MARINA SOUTH PIER,1.270950, 103.863240
12864.626918521297,35529.45520020715,PIONEER,1.337467, 103.696925
26679.197614165085,27553.368644063365,HABOURFRONT,1.265969, 103.820497
26160.51300914172,30225.10170512032,REDHILL,1.289725, 103.816759
34569.205133915668,39254.901804922571,HOUGANG,1.370929, 103.892438
29500.325753586469,35845.020157621235,BRADDELL,1.340669, 103.846542
31373.73886838289,31351.131694714561,NICOLL HIGHWAY,1.299514, 103.864117
23993.78112892458,34776.974141576015,SIXTH AVENUE,1.330885, 103.797093
31978.75833518061,34843.598524455454,POTONG PASIR,1.331350, 103.869287
17866.486619769938,35045.184224982724,JURONG EAST INTERCHANGE,1.333132, 103.742333
15496.303532718875,36267.593137843964,LAKESIDE,1.344228, 103.720761
30555.601838562467,31387.337182990836,BUGIS,1.301054, 103.855983
21600.914355478089,35929.06713170201,BEAUTY WORLD,1.340874, 103.775588
26013.545068672778,33830.922336383803,BOTANIC GARDENS,1.313815, 103.815916
34103.770968948113,35293.203636026126,TAI SENG,1.335853, 103.887749
20422.732369582951,33040.289634660796,CLEMENTI,1.315130, 103.765162
27300.616859493253,29849.164356141693,TIONG BAHRU,1.286071, 103.826962
40601.284333950891,34386.818136545029,TANAH MERAH INTERCHANGE,1.327247, 103.946580
28525.281617903704,32805.785535960662,NEWTON,1.312535, 103.837898
23872.764285349243,32693.829022817481,HOLLAND VILLAGE,1.311124, 103.796146
